trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.5, 'e': 0.8815155172484924}",20,15,5.695535240491371,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.875491293110917}",20,0,-43.315189092921834,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.8691658577664628}",25,0,-59.066585785699544,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.8625241506547859}",20,0,-9.634999304438715,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.8555503581875252}",25,0,-50.32223811201737,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.8482278760969015}",20,0,-126.59535373992139,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.8405392699017467}",20,0,-57.50248312697597,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.832466233396834}",20,0,-70.78182126330275,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.8239895450666757}",30,0,-21.296273136547423,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.8150890223200095}",25,0,-80.88335118671004,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.8057434734360099}",30,10,-81.8575159221886,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.7959306471078105}",30,0,-78.04418992792196,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.785627179463201}",20,0,-124.53988932486733,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.7748085384363611}",20,9,3.2491007418563136,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.7634489653581792}",20,0,-88.42309834758868,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.7515214136260882}",20,0,-42.020312527003284,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
